""," ","Children measured at Year 1"," ","Children measured at Year 2"," "
"1","No. of compounds:","Control (N=301)","N+WSH Intervention (N=327)","Control (N=329)","N+WSH Intervention (N=381)"
"2","Maternal"," "," "," "," "
"3","Age(years)","23 (5)","24 (5)","23 (5)","24 (5)"
"4","Years of education","7 (3)","6 (3)","7 (3)","6 (3)"
"5","Paternal"," "," "," "," "
"6","Years of education","6 (4)","5 (4)","6 (4)","5 (4)"
"7","Works in agriculture","74 (25%)","93 (29%)","80 (24%)","108 (28%)"
"8","Household"," "," "," "," "
"9","Number of people","5 (3)","5 (2)","5 (2)","5 (2)"
"10","Has electricity","181 (60%)","203 (62%)","205 (62%)","237 (62%)"
"11","Has a cement floor","49 (16%)","38 (12%)","54 (16%)","48 (13%)"
"12","Acres of agricultural land owned","0.18 (0.26)","0.13 (0.13)","0.18 (0.25)","0.14 (0.14)"
"13","Drinking Water"," "," "," "," "
"14","Shallow tubewell primary water source","215 (71%)","230 (70%)","239 (73%)","275 (72%)"
"15","Stored water observed at home","148 (49%)","175 (54%)","163 (50%)","195 (51%)"
"16","Reported treating water yesterday","1 (0%)","1 (0%)","1 (0%)","1 (0%)"
"17","Distance (mins) to primary water source","1 (1)","1 (2)","1 (1)","1 (2)"
"18","Sanitation"," "," "," "," "
"19","Reported daily open defecation"," "," "," "," "
"20","Adult men","12 (4%)","31 (10%)","12 (4%)","34 (9%)"
"21","Adult women","8 (3%)","16 (5%)","9 (3%)","19 (5%)"
"22","Children: 8 to <15 years","5 (4%)","16 (11%)","3 (2%)","19 (11%)"
"23","Children: 3 to <8 years","42 (28%)","69 (36%)","51 (31%)","78 (37%)"
"24","Children: 0 to <3 years","53 (77%)","61 (87%)","56 (73%)","71 (88%)"
"25","Latrine"," "," "," "," "
"26","Owned","188 (62%)","169 (52%)","192 (58%)","198 (52%)"
"27","Concrete Slab","285 (97%)","289 (93%)","309 (96%)","339 (94%)"
"28","Functional water seal","103 (38%)","78 (30%)","110 (37%)","93 (30%)"
"29","Visible stool on slab or floor","157 (54%)","145 (48%)","163 (51%)","162 (46%)"
"30","Owned a child potty","20 (7%)","15 (5%)","23 (7%)","20 (5%)"
"31","Human feces observed in the"," "," "," "," "
"32","House","17 (6%)","24 (7%)","19 (6%)","32 (8%)"
"33","Child's play area","3 (1%)","2 (1%)","4 (1%)","5 (1%)"
"34","Handwashing location"," "," "," "," "
"35","Within six steps of latrine"," "," "," "," "
"36","Has water","53 (19%)","37 (12%)","63 (21%)","51 (14%)"
"37","Has soap","27 (10%)","19 (6%)","32 (11%)","24 (7%)"
"38","Within six steps of kitchen"," "," "," "," "
"39","Has water","31 (11%)","29 (10%)","34 (11%)","38 (11%)"
"40","Has soap","10 (4%)","9 (3%)","14 (5%)","13 (4%)"
"41","Nutrition"," "," "," "," "
"42","Household is food secure","220 (73%)","232 (71%)","241 (73%)","272 (71%)"
