"","Outcome, Arm","N","Absolute Mean","Absolute SD","Mean","SD","Unadjusted difference: Intervention vs. Control (95% CI)","Age- and sex- adjusted difference: Intervention vs. Control (95% CI)","Fully adjusted difference: Intervention vs. Control (95% CI)"
"1","Ln IL-1Î²/IL-10"," "," "," "," "," "," "," "," "
"2","Control","312","0.15","0.11","-2.14","0.85"," "," "," "
"3","Nutrition + WSH","361","0.17","0.36","-2.34","1.06","-0.2 (-0.42, 0.02)","-0.17 (-0.39, 0.05)","-0.19 (-0.41, 0.03)"
"4","Ln IL-6/IL-10"," "," "," "," "," "," "," "," "
"5","Control","312","0.45","0.86","-1.26","0.82"," "," "," "
"6","Nutrition + WSH","362","0.48","1.52","-1.53","1.03","-0.27 (-0.48, -0.07)","-0.27 (-0.48, -0.06)","-0.26 (-0.47, -0.05)"
"7","Ln TNF-Î±/IL-10"," "," "," "," "," "," "," "," "
"8","Control","312","0.75","0.97","-0.54","0.65"," "," "," "
"9","Nutrition + WSH","363","0.95","2.36","-0.54","0.77","0 (-0.11, 0.1)","0 (-0.11, 0.11)","0 (-0.12, 0.12)"
"10","Ln IL-12/IL-10"," "," "," "," "," "," "," "," "
"11","Control","312","0.38","0.28","-1.13","0.58"," "," "," "
"12","Nutrition + WSH","363","0.37","0.46","-1.25","0.66","-0.12 (-0.22, -0.02)","-0.11 (-0.21, 0)","-0.09 (-0.2, 0.01)"
"13","Ln IFN-Î³/IL-10"," "," "," "," "," "," "," "," "
"14","Control","312","1.15","0.8","-0.01","0.57"," "," "," "
"15","Nutrition + WSH","363","1.08","1.6","-0.18","0.62","-0.16 (-0.27, -0.06)","-0.15 (-0.25, -0.04)","-0.13 (-0.23, -0.02)"
"16","Ln IL-4/IL-10"," "," "," "," "," "," "," "," "
"17","Control","312","8.06","6.71","1.88","0.64"," "," "," "
"18","Nutrition + WSH","363","7.48","13.48","1.65","0.71","-0.23 (-0.35, -0.1)","-0.2 (-0.33, -0.07)","-0.19 (-0.32, -0.06)"
