""," ","Unadjusted Analysis"," "," ","Adjusted Analysis"," "," "
"1","Outcome","Unadjusted Difference","Unadjusted P-value","Bonferroni P-value","Adjusted Difference","Adjusted P-value","Bonferroni P-value"
"2","Ln IL-1β (pg/ml)","0.07","0.62","1","0.04","0.77","1"
"3","Ln Il-6 (pg/ml)","0.15","0.07","0.14","0.12","0.13","0.27"
"4","Ln TNF-α (pg/ml)","-0.03","0.69","1","0.01","0.91","1"
"5","Ln CRP (mg/L)","0.37","0.02","0.03","0.26","0.14","0.27"
"6","Ln IL-12 (pg/ml)","-0.09","0.21","0.42","-0.06","0.47","0.94"
"7","Ln IFN-γ (pg/ml)","-0.02","0.78","1","0.03","0.73","1"
"8","Ln IL-4 (pg/ml)","0.09","0.27","0.55","0.12","0.14","0.29"
"9","Ln IL-5 (pg/ml)","0.17","0.01","0.02","0.21","0","0.01"
"10","Ln IL-13 (pg/ml)","0.13","0.33","0.65","0.14","0.3","0.6"
"11","Ln IL-17A (pg/ml)","-0.07","0.37","0.74","-0.07","0.41","0.82"
"12","Ln IL-21 (pg/ml)","0.09","0.41","0.83","0.07","0.49","0.99"
"13","Ln IL-10 (pg/ml)","0.1","0.21","0.41","0.12","0.13","0.25"
"14","Ln IL-2 (pg/ml)","0.08","0.57","1","-0.03","0.87","1"
"15","Ln GMCSF (pg/ml)","-0.06","0.48","0.96","0.02","0.81","1"
"16","Ln AGP (g/L)","0.04","0.47","0.94","0.02","0.59","1"
"17","Ln IGF-1 (μg/L)","-0.11","0.06","0.12","-0.04","0.45","0.89"
"18","Ln IL-1β/IL-10","-0.02","0.85","1","-0.04","0.71","1"
"19","Ln IL-6/IL-10","0.05","0.57","1","0.01","0.9","1"
"20","Ln TNF-α/IL-10","-0.12","0.02","0.05","-0.11","0.04","0.09"
"21","Ln IL-12/IL-10","-0.19","0","0","-0.2","0","0"
"22","Ln IFN-γ/IL-10","-0.11","0.05","0.1","-0.08","0.13","0.26"
"23","Ln IL-4/IL-10","0","0.98","1","-0.01","0.92","1"
"24","Ln IL-5/IL-10","0.07","0.26","0.52","0.06","0.31","0.63"
"25","Ln IL-13/IL-10","0.02","0.81","1","0.04","0.72","1"
"26","Ln IL-17A/IL-10","-0.16","0.02","0.04","-0.2","0.01","0.01"
"27","Ln IL-21/IL-10","-0.01","0.91","1","-0.08","0.47","0.94"
"28","Ln IL-2/IL-10","0","0.99","1","-0.12","0.4","0.8"
"29","Ln GM-CSF/IL-10","-0.16","0.07","0.13","-0.13","0.15","0.3"
"30","Ln IL-12/IL-4","-0.18","0","0.01","-0.18","0","0"
"31","Ln IFN-γ/IL-4","-0.11","0.03","0.06","-0.08","0.13","0.27"
"32","Ln IL-12/IL-5","-0.27","0","0","-0.23","0","0"
"33","Ln IFN-γ/IL-5","-0.19","0","0.01","-0.15","0.04","0.09"
"34","Ln IL-12/IL-13","-0.22","0.01","0.02","-0.23","0.01","0.01"
"35","Ln IFN-γ/IL-13","-0.14","0.08","0.15","-0.14","0.09","0.19"
"36","Ln IL-12/IL-17A","-0.02","0.67","1","0.02","0.76","1"
"37","Ln IFN-γ/IL-17A","0.06","0.37","0.73","0.08","0.19","0.39"
"38","Ln IL-12/IL-21","-0.19","0.09","0.18","-0.11","0.37","0.74"
"39","Ln IFN-γ/IL-21","-0.1","0.33","0.66","-0.03","0.8","1"
"40","Ln Pro-inflammatory cytokines*/IL-10","-0.12","0.02","0.05","-0.11","0.04","0.09"
"41","Ln Th1**/IL-10","-0.11","0.05","0.1","-0.08","0.13","0.26"
"42","Ln Th2***/IL-10","0.02","0.81","1","0.04","0.72","1"
"43","Ln Th17****/IL-10","-0.01","0.91","1","-0.08","0.47","0.94"
"44","Ln Th1**/Th2***","-0.14","0.08","0.15","-0.14","0.09","0.19"
"45","Ln Th1**/Th17****","-0.1","0.33","0.66","-0.03","0.8","1"
