"","Outcome, Arm","N","Absolute Mean","Absolute SD","Mean","SD","Unadjusted difference: Intervention vs. Control (95% CI)","Age- and sex- adjusted difference: Intervention vs. Control (95% CI)","IPCW adjusted difference: Intervention vs. Control (95% CI)","ipcws6"
"1","Ln IL-1β (pg/ml)"," "," "," "," "," "," "," "," "," "
"2","Control","313","1.21","0.74","-0.12","0.98"," "," "," "," "
"3","Nutrition + WSH","365","1.19","0.81","-0.24","1.14","-0.12 (-0.39, 0.15)","-0.12 (-0.39, 0.15)","-0.14 (-0.4, 0.12)","-0.04 (-0.35, 0.27)"
"4","Ln IL-6 (pg/ml)"," "," "," "," "," "," "," "," "," "
"5","Control","313","2.78","2.4","0.76","0.76"," "," "," "," "
"6","Nutrition + WSH","366","2.45","1.93","0.54","0.96","-0.21 (-0.44, 0.02)","-0.21 (-0.44, 0.02)","-0.22 (-0.45, 0.01)","-0.19 (-0.41, 0.03)"
"7","Ln TNF-α (pg/ml)"," "," "," "," "," "," "," "," "," "
"8","Control","313","5.03","2.55","1.48","0.57"," "," "," "," "
"9","Nutrition + WSH","367","5.3","2.59","1.54","0.53","0.06 (-0.08, 0.2)","0.05 (-0.09, 0.19)","0.04 (-0.09, 0.17)","0.07 (-0.08, 0.21)"
"10","Ln IL-12 (pg/ml)"," "," "," "," "," "," "," "," "," "
"11","Control","313","2.82","1.45","0.89","0.64"," "," "," "," "
"12","Nutrition + WSH","367","2.7","1.4","0.82","0.7","-0.06 (-0.23, 0.11)","-0.07 (-0.23, 0.1)","-0.08 (-0.22, 0.07)","0 (-0.18, 0.19)"
"13","Ln IFN-γ (pg/ml)"," "," "," "," "," "," "," "," "," "
"14","Control","313","8.95","7.24","2.01","0.64"," "," "," "," "
"15","Nutrition + WSH","367","7.87","4.4","1.9","0.61","-0.1 (-0.26, 0.06)","-0.1 (-0.26, 0.06)","-0.09 (-0.23, 0.05)","0 (-0.21, 0.21)"
"16","Ln IL-4 (pg/ml)"," "," "," "," "," "," "," "," "," "
"17","Control","313","57.6","35.87","3.89","0.58"," "," "," "," "
"18","Nutrition + WSH","367","52.25","43.12","3.73","0.67","-0.16 (-0.32, 0)","-0.15 (-0.31, 0.01)","-0.15 (-0.31, 0.01)","-0.18 (-0.36, 0.01)"
"19","Ln IL-5 (pg/ml)"," "," "," "," "," "," "," "," "," "
"20","Control","313","1.86","1.35","0.39","0.79"," "," "," "," "
"21","Nutrition + WSH","367","1.79","1.13","0.39","0.7","0.01 (-0.15, 0.16)","0.01 (-0.15, 0.16)","-0.02 (-0.18, 0.14)","0.04 (-0.15, 0.24)"
"22","Ln IL-13 (pg/ml)"," "," "," "," "," "," "," "," "," "
"23","Control","311","9.41","18.67","1.58","1.16"," "," "," "," "
"24","Nutrition + WSH","366","6.92","8.3","1.43","1.12","-0.15 (-0.47, 0.17)","-0.15 (-0.48, 0.17)","-0.13 (-0.4, 0.14)","-0.09 (-0.44, 0.26)"
"25","Ln IL-17A (pg/ml)"," "," "," "," "," "," "," "," "," "
"26","Control","313","5.09","3.52","1.45","0.63"," "," "," "," "
"27","Nutrition + WSH","367","5.01","2.93","1.43","0.65","-0.02 (-0.19, 0.16)","-0.02 (-0.19, 0.16)","-0.02 (-0.17, 0.13)","-0.04 (-0.26, 0.18)"
"28","Ln IL-21 (pg/ml)"," "," "," "," "," "," "," "," "," "
"29","Control","308","1.9","1.3","0.37","0.86"," "," "," "," "
"30","Nutrition + WSH","362","2.07","5.7","0.24","0.97","-0.13 (-0.31, 0.06)","-0.13 (-0.31, 0.06)","-0.1 (-0.28, 0.09)","-0.11 (-0.29, 0.06)"
"31","Ln IL-10 (pg/ml)"," "," "," "," "," "," "," "," "," "
"32","Control","312","9.69","14.78","2.02","0.67"," "," "," "," "
"33","Nutrition + WSH","363","10.32","8.01","2.09","0.78","0.07 (-0.08, 0.22)","0.06 (-0.09, 0.21)","0.06 (-0.08, 0.2)","0.11 (-0.05, 0.26)"
"34","Ln IL-2 (pg/ml)"," "," "," "," "," "," "," "," "," "
"35","Control","310","1.18","0.85","-0.23","1.08"," "," "," "," "
"36","Nutrition + WSH","361","1.57","6.67","-0.35","1.23","-0.12 (-0.37, 0.12)","-0.12 (-0.37, 0.12)","-0.11 (-0.35, 0.14)","-0.1 (-0.35, 0.15)"
"37","Ln GM-CSF (pg/ml)"," "," "," "," "," "," "," "," "," "
"38","Control","313","150.92","188.02","4.54","1.01"," "," "," "," "
"39","Nutrition + WSH","367","176.35","255.09","4.63","1.07","0.08 (-0.14, 0.31)","0.08 (-0.15, 0.31)","0.06 (-0.13, 0.25)","0.18 (-0.04, 0.39)"
"40","Ln IGF-1 (μg/L)"," "," "," "," "," "," "," "," "," "
"41","Control","325","52.87","25.1","3.86","0.48"," "," "," "," "
"42","Nutrition + WSH","379","50.45","25.02","3.8","0.5","-0.06 (-0.13, 0.02)","-0.06 (-0.14, 0.02)","-0.01 (-0.08, 0.07)","0.01 (-0.06, 0.08)"
