"","Outcome, Arm","N","Absolute Mean","Absolute SD","Mean","SD","Unadjusted difference: Intervention vs. Control (95% CI)","Age- and sex- adjusted difference: Intervention vs. Control (95% CI)","Fully adjusted difference: Intervention vs. Control (95%)","IPCW adjusted difference: Intervention vs. Control (95%)"
"1","Ln ΔIL-1β/IL-10"," "," "," "," "," "," "," "," "," "
"2","Control","216","0.02","0.26","0.35","1.08"," "," "," "," "
"3","Nutrition + WSH","261","0.05","0.4","0.21","1.37","-0.14 (-0.39, 0.11)","-0.13 (-0.38, 0.12)","-0.15 (-0.41, 0.12)","-0.14 (-0.4, 0.12)"
"4","Ln ΔIL-6/IL-10"," "," "," "," "," "," "," "," "," "
"5","Control","216","0.12","1.15","0.24","1.04"," "," "," "," "
"6","Nutrition + WSH","264","0.13","1.99","-0.02","1.32","-0.27 (-0.51, -0.03)","-0.24 (-0.48, -0.01)","-0.2 (-0.48, 0.07)","-0.2 (-0.45, 0.06)"
"7","Ln ΔTNF-α/IL-10"," "," "," "," "," "," "," "," "," "
"8","Control","216","-0.37","3.57","-0.14","0.86"," "," "," "," "
"9","Nutrition + WSH","265","0.3","2.76","0.03","0.93","0.17 (-0.02, 0.36)","0.17 (-0.02, 0.36)","0.1 (-0.08, 0.28)","0.17 (-0.06, 0.4)"
"10","Ln ΔIL-12/IL-10"," "," "," "," "," "," "," "," "," "
"11","Control","216","0","0.78","0.12","0.84"," "," "," "," "
"12","Nutrition + WSH","264","0.1","0.48","0.22","0.88","0.11 (-0.09, 0.31)","0.12 (-0.08, 0.33)","0.12 (-0.07, 0.31)","0.11 (-0.08, 0.3)"
"13","Ln ΔIFN-γ/IL-10"," "," "," "," "," "," "," "," "," "
"14","Control","216","0.02","2.41","0.16","0.85"," "," "," "," "
"15","Nutrition + WSH","265","0.23","1.17","0.16","0.75","0 (-0.18, 0.18)","0.01 (-0.18, 0.19)","-0.02 (-0.2, 0.17)","0 (-0.2, 0.2)"
"16","Ln ΔIL-4/IL-10"," "," "," "," "," "," "," "," "," "
"17","Control","216","-0.27","23.79","0.23","0.87"," "," "," "," "
"18","Nutrition + WSH","264","0.69","18.13","0.05","0.94","-0.18 (-0.39, 0.03)","-0.18 (-0.4, 0.03)","-0.16 (-0.38, 0.06)","-0.18 (-0.39, 0.02)"
"19","Ln ΔIL-5/IL-10"," "," "," "," "," "," "," "," "," "
"20","Control","216","-0.04","0.83","0.12","0.93"," "," "," "," "
"21","Nutrition + WSH","265","0.11","1.24","0.05","1.04","-0.07 (-0.26, 0.13)","-0.09 (-0.27, 0.1)","-0.15 (-0.32, 0.02)","-0.14 (-0.35, 0.07)"
"22","Ln ΔIL-13/IL-10"," "," "," "," "," "," "," "," "," "
"23","Control","215","0.26","2.8","0.21","1.18"," "," "," "," "
"24","Nutrition + WSH","263","0.03","2.25","-0.04","1.24","-0.25 (-0.53, 0.04)","-0.25 (-0.53, 0.04)","-0.22 (-0.5, 0.05)","-0.22 (-0.57, 0.13)"
"25","Ln ΔIL-17A/IL-10"," "," "," "," "," "," "," "," "," "
"26","Control","216","-0.15","2.32","0.05","0.9"," "," "," "," "
"27","Nutrition + WSH","265","0.23","1.17","0.2","0.86","0.16 (-0.04, 0.35)","0.17 (-0.02, 0.37)","0.16 (-0.05, 0.37)","0.25 (0.03, 0.47)"
"28","Ln ΔIL-21/IL-10"," "," "," "," "," "," "," "," "," "
"29","Control","208","0.04","0.88","0.26","1.41"," "," "," "," "
"30","Nutrition + WSH","257","0.14","1.31","0.06","1.49","-0.2 (-0.5, 0.11)","-0.19 (-0.48, 0.1)","-0.08 (-0.39, 0.22)","-0.06 (-0.35, 0.23)"
"31","Ln ΔIL-2/IL-10"," "," "," "," "," "," "," "," "," "
"32","Control","214","0.02","0.66","0.37","1.4"," "," "," "," "
"33","Nutrition + WSH","254","0.2","3.49","0.25","1.66","-0.12 (-0.47, 0.23)","-0.13 (-0.48, 0.22)","-0.1 (-0.45, 0.25)","-0.17 (-0.56, 0.22)"
"34","Ln ΔGM-CSF/IL-10"," "," "," "," "," "," "," "," "," "
"35","Control","216","5.26","47.93","0.65","1.08"," "," "," "," "
"36","Nutrition + WSH","265","15.22","39.79","0.9","1.37","0.25 (0.04, 0.46)","0.22 (-0.02, 0.45)","0.08 (-0.13, 0.3)","0.14 (-0.06, 0.35)"
"37","Ln ΔIL-12/IL-4"," "," "," "," "," "," "," "," "," "
"38","Control","218","0","0.03","-0.09","0.71"," "," "," "," "
"39","Nutrition + WSH","266","0.01","0.03","0.17","0.82","0.26 (0.09, 0.44)","0.27 (0.08, 0.46)","0.29 (0.11, 0.47)","0.25 (0.03, 0.47)"
"40","Ln ΔIFN-γ/IL-4"," "," "," "," "," "," "," "," "," "
"41","Control","218","0","0.13","-0.06","0.7"," "," "," "," "
"42","Nutrition + WSH","267","0.02","0.11","0.11","0.71","0.17 (0.01, 0.32)","0.18 (0.02, 0.33)","0.16 (0, 0.32)","0.18 (-0.01, 0.37)"
"43","Ln ΔIL-12/IL-5"," "," "," "," "," "," "," "," "," "
"44","Control","218","0.31","3.52","0.02","0.84"," "," "," "," "
