"","Outcome","N","Q1 Mean","Q2 Mean","Q3 Mean","Q4 Mean","Change in T/S Ratio between Year 1 to Year 2, Q1 vs. Q2"," "," "," ","Change in T/S Ratio between Year 1 to Year 2, Q1 vs. Q3"," "," "," ","Change in T/S Ratio between Year 1 to Year 2, Q1 vs. Q4"," "," "," "
"1"," "," "," "," "," "," ","Unadjusted"," ","Fully adjusted"," ","Unadjusted"," ","Fully adjusted"," ","Unadjusted"," ","Fully adjusted"," "
"2"," "," "," "," "," "," ","Coefficient (95% CI)","P-value","Coefficient (95% CI)","P-value","Coefficient (95% CI)","P-value","Coefficient (95% CI)","P-value","Coefficient (95% CI)","P-value","Coefficient (95% CI)","P-value"
"3","LAZ, Year 2","557","-1.53","-1.46","-1.6","-1.68","0.08 (-0.14, 0.29)","0.49","0.01 (-0.12, 0.15)","0.85","-0.07 (-0.3, 0.16)","0.55","-0.06 (-0.19, 0.07)","0.38","-0.14 (-0.37, 0.08)","0.21","-0.02 (-0.18, 0.14)","0.8"
"4","WAZ, Year 2","557","-1.53","-1.41","-1.59","-1.64","0.12 (-0.1, 0.34)","0.29","0 (-0.11, 0.11)","0.98","-0.07 (-0.29, 0.16)","0.56","-0.13 (-0.24, -0.02)","0.02","-0.11 (-0.33, 0.1)","0.3","0 (-0.12, 0.13)","0.95"
"5","WLZ, Year 2","557","-0.98","-0.88","-1.04","-1.03","0.11 (-0.1, 0.31)","0.32","0.01 (-0.12, 0.13)","0.92","-0.06 (-0.27, 0.16)","0.6","-0.12 (-0.26, 0.02)","0.09","-0.05 (-0.25, 0.14)","0.6","0 (-0.13, 0.14)","0.96"
"6","HCZ, Year 2","557","-1.81","-1.72","-1.72","-1.91","0.09 (-0.13, 0.31)","0.42","0.05 (-0.14, 0.24)","0.6","0.09 (-0.13, 0.31)","0.41","-0.01 (-0.21, 0.2)","0.95","-0.1 (-0.31, 0.11)","0.34","-0.13 (-0.35, 0.09)","0.24"
"7"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"8","Change in LAZ between Year 1 to Year 2","557","-0.09","-0.22","-0.15","-0.15","-0.13 (-0.24, -0.02)","0.02","-0.05 (-0.14, 0.04)","0.3","-0.05 (-0.16, 0.06)","0.36","-0.03 (-0.13, 0.07)","0.5","-0.05 (-0.17, 0.06)","0.35","-0.04 (-0.15, 0.06)","0.43"
"9","Change in WAZ between Year 1 to Year 2","557","-0.2","-0.27","-0.28","-0.16","-0.08 (-0.19, 0.04)","0.2","-0.04 (-0.14, 0.06)","0.44","-0.08 (-0.18, 0.03)","0.14","-0.13 (-0.23, -0.04)","0.01","0.04 (-0.09, 0.16)","0.55","-0.04 (-0.16, 0.16)","0.44"
"10","Change in WLZ between Year 1 to Year 2","557","-0.1","-0.14","-0.2","-0.02","-0.04 (-0.19, 0.12)","0.64","0.01 (-0.13, 0.15)","0.85","-0.1 (-0.25, 0.05)","0.2","-0.12 (-0.26, 0.02)","0.1","0.08 (-0.09, 0.25)","0.35","0.01 (-0.13, 0.14)","0.91"
"11","Change in HCZ between Year 1 to Year 2","555","0.02","-0.09","-0.01","-0.09","-0.11 (-0.23, 0)","0.06","-0.13 (-0.24, -0.02)","0.02","-0.03 (-0.15, 0.1)","0.64","-0.07 (-0.19, 0.05)","0.26","-0.11 (-0.24, 0.02)","0.09","-0.17 (-0.31, -0.02)","0.03"
"12"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"13","Length velocity (cm/month)","557","0.81","0.79","0.79","0.79","-0.02 (-0.05, 0.01)","0.14","-0.02 (-0.04, 0)","0.1","-0.02 (-0.05, 0.01)","0.17","-0.03 (-0.05, 0)","0.03","-0.02 (-0.05, 0.01)","0.19","-0.02 (-0.05, 0)","0.1"
"14","Weight velocity (kg/month)","557","0.16","0.15","0.15","0.16","0 (-0.01, 0.01)","0.61","0 (-0.01, 0.01)","0.51","-0.01 (-0.02, 0)","0.09","-0.01 (-0.02, 0)","0.02","0 (-0.01, 0.01)","0.99","0 (-0.01, 0.01)","0.4"
"15","Head circumference velocity (cm/month)","557","0.15","0.15","0.15","0.15","-0.01 (-0.02, 0.01)","0.45","-0.01 (-0.02, 0)","0.13","0 (-0.02, 0.01)","0.51","0 (-0.01, 0.01)","0.59","-0.01 (-0.02, 0)","0.18","-0.02 (-0.04, 0)","0.01"
