"","Outcome","Unadjusted Analysis"," "," ","Adjusted Analysis"," "," "
"1","Outcome","Unadjusted Difference","Unadjusted P-value","Bonferroni P-value","Adjusted Difference","Adjusted P-value","Bonferroni P-value"
"2","Ln IL-1ß (pg/ml)","-0.12","0.4","Bonferroni P-value","-0.14","0.3","Bonferroni P-value"
"3","Ln Il-6 (pg/ml)","-0.21","0.07","Bonferroni P-value","-0.22","0.06","Bonferroni P-value"
"4","Ln TNF-a (pg/ml)","0.06","0.39","Bonferroni P-value","0.04","0.55","Bonferroni P-value"
"5","Ln IL-12 (pg/ml)","-0.06","0.46","Bonferroni P-value","-0.08","0.29","Bonferroni P-value"
"6","Ln IFN-<U+03B3> (pg/ml)","-0.1","0.21","Bonferroni P-value","-0.09","0.2","Bonferroni P-value"
"7","Ln IL-4 (pg/ml)","-0.16","0.05","Bonferroni P-value","-0.15","0.08","Bonferroni P-value"
"8","Ln IL-5 (pg/ml)","0.01","0.94","Bonferroni P-value","-0.02","0.82","Bonferroni P-value"
"9","Ln IL-13 (pg/ml)","-0.15","0.36","Bonferroni P-value","-0.13","0.34","Bonferroni P-value"
"10","Ln IL-17A (pg/ml)","-0.02","0.86","Bonferroni P-value","-0.02","0.82","Bonferroni P-value"
"11","Ln IL-21 (pg/ml)","-0.13","0.18","Bonferroni P-value","-0.1","0.29","Bonferroni P-value"
"12","Ln IL-10 (pg/ml)","0.07","0.39","Bonferroni P-value","0.06","0.38","Bonferroni P-value"
"13","Ln IL-2 (pg/ml)","-0.12","0.32","Bonferroni P-value","-0.11","0.39","Bonferroni P-value"
"14","Ln GMCSF (pg/ml)","0.08","0.47","Bonferroni P-value","0.06","0.55","Bonferroni P-value"
"15","Ln IGF-1 (µg/L)","-0.06","0.14","Bonferroni P-value","-0.01","0.87","Bonferroni P-value"
"16","Ln IL-1ß/IL-10","-0.2","0.07","Bonferroni P-value","-0.19","0.1","Bonferroni P-value"
"17","Ln IL-6/IL-10","-0.27","0.01","Bonferroni P-value","-0.26","0.02","Bonferroni P-value"
"18","Ln TNF-a/IL-10","0","0.93","Bonferroni P-value","0","0.98","Bonferroni P-value"
"19","Ln IL-12/IL-10","-0.12","0.02","Bonferroni P-value","-0.09","0.09","Bonferroni P-value"
"20","Ln IFN-<U+03B3>/IL-10","-0.16","0","Bonferroni P-value","-0.13","0.02","Bonferroni P-value"
"21","Ln IL-4/IL-10","-0.23","0","Bonferroni P-value","-0.19","0.01","Bonferroni P-value"
"22","Ln IL-5/IL-10","-0.05","0.46","Bonferroni P-value","-0.09","0.21","Bonferroni P-value"
"23","Ln IL-13/IL-10","-0.21","0.07","Bonferroni P-value","-0.19","0.07","Bonferroni P-value"
"24","Ln IL-17A/IL-10","-0.08","0.16","Bonferroni P-value","-0.04","0.47","Bonferroni P-value"
"25","Ln IL-21/IL-10","-0.19","0.09","Bonferroni P-value","-0.16","0.14","Bonferroni P-value"
"26","Ln IL-2/IL-10","-0.19","0.14","Bonferroni P-value","-0.15","0.23","Bonferroni P-value"
"27","Ln GM-CSF/IL-10","0.02","0.85","Bonferroni P-value","0.03","0.74","Bonferroni P-value"
"28","Ln IL-12/IL-4","0.1","0.09","Bonferroni P-value","0.1","0.07","Bonferroni P-value"
"29","Ln IFN-<U+03B3>/IL-4","0.06","0.27","Bonferroni P-value","0.07","0.23","Bonferroni P-value"
"30","Ln IL-12/IL-5","-0.07","0.39","Bonferroni P-value","-0.03","0.74","Bonferroni P-value"
"31","Ln IFN-<U+03B3>/IL-5","-0.11","0.17","Bonferroni P-value","-0.06","0.47","Bonferroni P-value"
"32","Ln IL-12/IL-13","0.08","0.4","Bonferroni P-value","0.07","0.43","Bonferroni P-value"
"33","Ln IFN-<U+03B3>/IL-13","0.04","0.67","Bonferroni P-value","0.04","0.64","Bonferroni P-value"
"34","Ln IL-12/IL-17A","-0.05","0.36","Bonferroni P-value","-0.06","0.25","Bonferroni P-value"
"35","Ln IFN-<U+03B3>/IL-17A","-0.09","0.11","Bonferroni P-value","-0.07","0.17","Bonferroni P-value"
"36","Ln IL-12/IL-21","0.05","0.67","Bonferroni P-value","0.03","0.76","Bonferroni P-value"
"37","Ln IFN-<U+03B3>/IL-21","0.02","0.87","Bonferroni P-value","0.02","0.85","Bonferroni P-value"
"38","Ln Pro-inflammatory cytokines*/IL-10","9.31","0.81","Bonferroni P-value","15.17","0.72","Bonferroni P-value"
"39","Ln Th1**/IL-10","-8.91","0.59","Bonferroni P-value","-4.32","0.76","Bonferroni P-value"
"40","Ln Th2***/IL-10","-18.84","0.42","Bonferroni P-value","-14.17","0.48","Bonferroni P-value"
"41","Ln Th17****/IL-10","-16.93","0.19","Bonferroni P-value","-11.6","0.19","Bonferroni P-value"
"42","Ln Th1**/Th2***","0.29","0.78","Bonferroni P-value","0.41","0.7","Bonferroni P-value"
"43","Ln Th1**/Th17****","1.22","0.4","Bonferroni P-value","1.77","0.34","Bonferroni P-value"
