"","Outcome, Arm","N","Mean","SD","Unadjusted difference: Intervention vs. Control (95% CI)","Age- and sex- adjusted difference: Intervention vs. Control (95% CI)","Fully adjusted difference: Intervention vs. Control (95% CI)"
"1","Ln IL-1ß/IL-10"," "," "," "," "," "," "
"2","Control","302","-2.53","0.93"," "," "," "
"3","Nutrition + WSH","291","-2.48","1.05","0.05 (-0.15, 0.25)","0.07 (-0.13, 0.27)","0.09 (-0.12, 0.29)"
"4","Ln IL-6/IL-10"," "," "," "," "," "," "
"5","Control","301","-1.53","0.81"," "," "," "
"6","Nutrition + WSH","292","-1.45","0.92","0.08 (-0.09, 0.24)","0.09 (-0.08, 0.26)","0.11 (-0.06, 0.28)"
"7","Ln TNF-a/IL-10"," "," "," "," "," "," "
"8","Control","303","-0.45","0.65"," "," "," "
"9","Nutrition + WSH","292","-0.49","0.71","-0.03 (-0.15, 0.08)","-0.02 (-0.14, 0.09)","-0.02 (-0.14, 0.1)"
"10","Ln IL-12/IL-10"," "," "," "," "," "," "
"11","Control","302","-1.37","0.65"," "," "," "
"12","Nutrition + WSH","292","-1.32","0.63","0.04 (-0.09, 0.17)","0.05 (-0.08, 0.18)","0.05 (-0.08, 0.18)"
"13","Ln IFN-<U+03B3>/IL-10"," "," "," "," "," "," "
"14","Control","303","-0.27","0.51"," "," "," "
"15","Nutrition + WSH","292","-0.22","0.65","0.06 (-0.05, 0.17)","0.08 (-0.03, 0.19)","0.09 (-0.02, 0.2)"
"16","Ln IL-4/IL-10"," "," "," "," "," "," "
"17","Control","302","1.59","0.65"," "," "," "
"18","Nutrition + WSH","292","1.68","0.73","0.09 (-0.05, 0.23)","0.1 (-0.05, 0.24)","0.12 (-0.02, 0.26)"
"19","Ln IL-5/IL-10"," "," "," "," "," "," "
"20","Control","303","-1.71","0.72"," "," "," "
"21","Nutrition + WSH","292","-1.7","0.8","0.01 (-0.13, 0.14)","0.01 (-0.12, 0.15)","-0.01 (-0.15, 0.14)"
"22","Ln IL-13/IL-10"," "," "," "," "," "," "
"23","Control","302","-0.66","1"," "," "," "
"24","Nutrition + WSH","291","-0.58","0.94","0.08 (-0.1, 0.26)","0.09 (-0.1, 0.27)","0.07 (-0.12, 0.26)"
"25","Ln IL-17A/IL-10"," "," "," "," "," "," "
"26","Control","303","-0.7","0.61"," "," "," "
"27","Nutrition + WSH","292","-0.71","0.71","-0.01 (-0.14, 0.13)","0 (-0.13, 0.14)","0.01 (-0.12, 0.14)"
"28","Ln IL-21/IL-10"," "," "," "," "," "," "
"29","Control","300","-1.88","0.97"," "," "," "
"30","Nutrition + WSH","286","-1.85","1.09","0.04 (-0.13, 0.21)","0.05 (-0.12, 0.22)","0.03 (-0.15, 0.21)"
"31","Ln IL-2/IL-10"," "," "," "," "," "," "
"32","Control","299","-2.62","1.23"," "," "," "
"33","Nutrition + WSH","287","-2.68","1.22","-0.06 (-0.31, 0.19)","-0.02 (-0.27, 0.22)","0.01 (-0.23, 0.25)"
"34","Ln GM-CSF/IL-10"," "," "," "," "," "," "
"35","Control","303","1.88","0.96"," "," "," "
"36","Nutrition + WSH","292","1.73","0.98","-0.16 (-0.32, 0.01)","-0.13 (-0.31, 0.05)","-0.13 (-0.31, 0.04)"
"37","Ln IL-12/IL-4"," "," "," "," "," "," "
"38","Control","303","-2.97","0.65"," "," "," "
"39","Nutrition + WSH","292","-3","0.53","-0.03 (-0.17, 0.1)","-0.03 (-0.17, 0.11)","-0.07 (-0.19, 0.05)"
"40","Ln IFN-<U+03B3>/IL-4"," "," "," "," "," "," "
"41","Control","304","-1.86","0.48"," "," "," "
"42","Nutrition + WSH","292","-1.9","0.54","-0.04 (-0.14, 0.07)","-0.03 (-0.14, 0.07)","-0.03 (-0.13, 0.07)"
"43","Ln IL-12/IL-5"," "," "," "," "," "," "
"44","Control","304","0.32","0.76"," "," "," "
"45","Nutrition + WSH","292","0.38","0.68","0.05 (-0.09, 0.2)","0.07 (-0.08, 0.22)","0.08 (-0.07, 0.22)"
"46","Ln IFN-<U+03B3>/IL-5"," "," "," "," "," "," "
"47","Control","305","1.43","0.65"," "," "," "
"48","Nutrition + WSH","292","1.49","0.66","0.05 (-0.07, 0.17)","0.07 (-0.05, 0.19)","0.11 (-0.02, 0.23)"
"49","Ln IL-12/IL-13"," "," "," "," "," "," "
"50","Control","302","-0.73","0.95"," "," "," "
"51","Nutrition + WSH","291","-0.76","0.84","-0.03 (-0.18, 0.13)","-0.02 (-0.18, 0.14)","-0.03 (-0.19, 0.13)"
"52","Ln IFN-<U+03B3>/IL-13"," "," "," "," "," "," "
"53","Control","303","0.39","0.87"," "," "," "
"54","Nutrition + WSH","291","0.35","0.84","-0.04 (-0.18, 0.1)","-0.03 (-0.18, 0.11)","-0.01 (-0.16, 0.13)"
"55","Ln IL-12/IL-17A"," "," "," "," "," "," "
"56","Control","304","-0.68","0.57"," "," "," "
"57","Nutrition + WSH","292","-0.62","0.49","0.06 (-0.03, 0.15)","0.06 (-0.03, 0.16)","0.06 (-0.03, 0.15)"
"58","Ln IFN-<U+03B3>/IL-17A"," "," "," "," "," "," "
"59","Control","305","0.44","0.55"," "," "," "
"60","Nutrition + WSH","292","0.49","0.45","0.06 (-0.05, 0.17)","0.07 (-0.04, 0.18)","0.09 (-0.01, 0.19)"
"61","Ln IL-12/IL-21"," "," "," "," "," "," "
"62","Control","301","0.49","1.06"," "," "," "
