""," ","WASH Benefits Main Trial"," ","Immune Status Study"," "
"1","No. of compounds:","Control (N=1382)","N + WSH (N=686)","Control (N=402)","N + WSH (N=404)"
"2","Maternal"," "," "," "," "
"3","Age(years)","24 (5)","24 (6)","24 (5)","24 (5)"
"4","Years of education","6 (3)","6 (3)","6 (3)","6 (3)"
"5","Paternal"," "," "," "," "
"6","Years of education","5 (4)","5 (4)","5 (4)","5 (4)"
"7","Works in agriculture","414 (30%)","207 (30%)","97 (24%)","110 (27%)"
"8","Household"," "," "," "," "
"9","Number of people","5 (2)","5 (2)","5 (2)","5 (2)"
"10","Has electricity","784 (57%)","412 (60%)","236 (59%)","261 (65%)"
"11","Has a cement floor","145 (10%)","72 (10%)","59 (15%)","56 (14%)"
"12","Acres of agricultural land owned","0.15 (0.21)","0.14 (0.38)","0.15 (0.21)","0.15 (0.15)"
"13","Drinking Water"," "," "," "," "
"14","Shallow tubewell primary water source","1038 (75%)","504 (73%)","298 (74%)","286 (71%)"
"15","Stored water observed at home","666 (48%)","331 (48%)","199 (50%)","212 (52%)"
"16","Reported treating water yesterday","4 (0%)","2 (0%)","1 (0%)","1 (0%)"
"17","Distance (mins) to primary water source","1 (3)","1 (2)","1 (1)","1 (2)"
"18","Sanitation"," "," "," "," "
"19","Reported daily open defecation"," "," "," "," "
"20","Adult men","97 (7%)","50 (7%)","28 (7%)","23 (6%)"
"21","Adult women","62 (4%)","24 (4%)","19 (5%)","11 (3%)"
"22","Children: 8 to <15 years","53 (10%)","28 (10%)","11 (7%)","15 (9%)"
"23","Children: 3 to <8 years","267 (38%)","134 (37%)","63 (31%)","81 (37%)"
"24","Children: 0 to <3 years","245 (82%)","123 (88%)","69 (79%)","68 (82%)"
"25","Latrine"," "," "," "," "
"26","Owned","750 (54%)","367 (53%)","237 (59%)","214 (53%)"
"27","Concrete Slab","1251 (95%)","621 (94%)","372 (97%)","370 (94%)"
"28","Functional water seal","358 (31%)","155 (27%)","130 (37%)","110 (32%)"
"29","Visible stool on slab or floor","625 (48%)","298 (46%)","197 (52%)","184 (48%)"
"30","Owned a child potty","61 (4%)","30 (4%)","25 (6%)","24 (6%)"
"31","Human feces observed in the"," "," "," "," "
"32","House","114 (8%)","49 (8%)","27 (7%)","31 (8%)"
"33","Child's play area","21 (2%)","7 (1%)","6 (2%)","3 (1%)"
"34","Handwashing location"," "," "," "," "
"35","Within six steps of latrine"," "," "," "," "
"36","Has water","178 (14%)","72 (11%)","68 (18%)","59 (16%)"
"37","Has soap","88 (7%)","36 (6%)","37 (10%)","28 (8%)"
"38","Within six steps of kitchen"," "," "," "," "
"39","Has water","118 (9%)","60 (9%)","37 (10%)","42 (11%)"
"40","Has soap","33 (3%)","18 (3%)","13 (4%)","14 (4%)"
"41","Nutrition"," "," "," "," "
"42","Household is food secure","932 (67%)","485 (71%)","284 (71%)","300 (74%)"
