"","No. of compounds:","Included (N=329)","Lost to follow-up at Year 2 (N=96)"
"1","Maternal"," "," "
"2","Age(years)","24 (5)","23 (5)"
"3","Years of education","6 (3)","6 (3)"
"4","Paternal"," "," "
"5","Years of education","5 (4)","5 (4)"
"6","Works in agriculture","111 (27%)","19 (20%)"
"7","Household"," "," "
"8","Number of people","5 (2)","5 (2)"
"9","Has electricity","248 (59%)","55 (57%)"
"10","Has a cement floor","55 (13%)","13 (14%)"
"11","Acres of agricultural land owned","0.16 (0.24)","0.14 (0.18)"
"12","Drinking Water"," "," "
"13","Shallow tubewell primary water source","290 (69%)","70 (73%)"
"14","Stored water observed at home","220 (53%)","53 (55%)"
"15","Reported treating water yesterday","2 (0%)","0 (0%)"
"16","Distance (mins) to primary water source","1 (2)","1 (1)"
"17","Sanitation"," "," "
"18","Reported daily open defecation"," "," "
"19","Adult men","34 (8%)","5 (5%)"
"20","Adult women","18 (4%)","2 (2%)"
"21","Children: 8 to <15 years","13 (7%)","4 (11%)"
"22","Children: 3 to <8 years","78 (34%)","15 (31%)"
"23","Children: 0 to <3 years","81 (84%)","10 (83%)"
"24","Latrine"," "," "
"25","Owned","231 (55%)","61 (64%)"
"26","Concrete Slab","378 (94%)","94 (99%)"
"27","Functional water seal","121 (34%)","37 (42%)"
"28","Visible stool on slab or floor","194 (49%)","56 (59%)"
"29","Owned a child potty","20 (5%)","6 (6%)"
"30","Human feces observed in the"," "," "
"31","House","30 (7%)","7 (7%)"
"32","Child's play area","3 (1%)","0 (0%)"
"33","Handwashing location"," "," "
"34","Within six steps of latrine"," "," "
"35","Has water","54 (14%)","13 (15%)"
"36","Has soap","28 (7%)","9 (10%)"
"37","Within six steps of kitchen"," "," "
"38","Has water","42 (11%)","7 (8%)"
"39","Has soap","12 (3%)","0 (0%)"
"40","Nutrition"," "," "
"41","Household is food secure","296 (71%)","71 (74%)"
