"","Outcome, Arm","N","Mean","SD","Unadjusted difference: Intervention vs. Control (95% CI)","Age- and sex- adjusted difference: Intervention vs. Control (95% CI)","Fully adjusted difference: Intervention vs. Control (95% CI)","IPCW adjusted difference: Intervention vs. Control (95% CI)"
"1","Ln IL-1β/IL-10"," "," "," "," "," "," "," "
"2","Control","284","-2.5","0.9"," "," "," "," "
"3","Nutrition + WSH","308","-2.52","1.07","-0.02 (-0.23, 0.19)","-0.03 (-0.25, 0.18)","-0.04 (-0.26, 0.18)","0.07 (-0.14, 0.27)"
"4","Ln IL-6/IL-10"," "," "," "," "," "," "," "
"5","Control","284","-1.52","0.78"," "," "," "," "
"6","Nutrition + WSH","308","-1.47","0.94","0.05 (-0.12, 0.22)","0.04 (-0.13, 0.21)","0.01 (-0.16, 0.18)","0.03 (-0.19, 0.25)"
"7","Ln TNF-α/IL-10"," "," "," "," "," "," "," "
"8","Control","284","-0.41","0.69"," "," "," "," "
"9","Nutrition + WSH","310","-0.53","0.66","-0.12 (-0.23, -0.02)","-0.12 (-0.23, -0.01)","-0.11 (-0.22, 0)","-0.02 (-0.12, 0.09)"
"10","Ln IL-12/IL-10"," "," "," "," "," "," "," "
"11","Control","284","-1.24","0.56"," "," "," "," "
"12","Nutrition + WSH","309","-1.44","0.7","-0.19 (-0.31, -0.08)","-0.2 (-0.32, -0.08)","-0.2 (-0.31, -0.08)","0.05 (-0.08, 0.17)"
"13","Ln IFN-γ/IL-10"," "," "," "," "," "," "," "
"14","Control","284","-0.19","0.57"," "," "," "," "
"15","Nutrition + WSH","310","-0.3","0.6","-0.11 (-0.22, 0)","-0.11 (-0.22, 0)","-0.08 (-0.19, 0.03)","0.08 (-0.03, 0.19)"
"16","Ln IL-4/IL-10"," "," "," "," "," "," "," "
"17","Control","284","1.64","0.69"," "," "," "," "
"18","Nutrition + WSH","309","1.63","0.69","0 (-0.14, 0.13)","-0.01 (-0.15, 0.13)","-0.01 (-0.14, 0.13)","0.04 (-0.13, 0.2)"
"19","Ln IL-5/IL-10"," "," "," "," "," "," "," "
"20","Control","284","-1.74","0.75"," "," "," "," "
"21","Nutrition + WSH","310","-1.67","0.77","0.07 (-0.05, 0.2)","0.06 (-0.07, 0.19)","0.06 (-0.06, 0.19)","0.01 (-0.14, 0.15)"
"22","Ln IL-13/IL-10"," "," "," "," "," "," "," "
"23","Control","284","-0.63","0.94"," "," "," "," "
