"","Outcome, Arm","N","Absolute Mean","V4","abssdtbl5","Mean","SD","Unadjusted difference: Intervention vs. Control (95% CI)","IPCW adjusted difference: Intervention vs. Control (95% CI)","Fully adjusted difference: Intervention vs. Control (95% CI)","ipcws7"
"1","Ln IL-1β/IL-10"," "," ","Absolute SD"," "," "," "," "," "," "," "
"2","Control","312","0.15","Absolute SD","0.11","-2.14","0.85"," "," "," "," "
"3","Nutrition + WSH","361","0.17","Absolute SD","0.36","-2.34","1.06","-0.2 (-0.42, 0.02)","-0.17 (-0.39, 0.05)","-0.19 (-0.41, 0.03)","-0.18 (-0.43, 0.06)"
"4","Ln IL-6/IL-10"," "," ","Absolute SD"," "," "," "," "," "," "," "
"5","Control","312","0.45","Absolute SD","0.86","-1.26","0.82"," "," "," "," "
"6","Nutrition + WSH","362","0.48","Absolute SD","1.52","-1.53","1.03","-0.27 (-0.48, -0.07)","-0.27 (-0.48, -0.06)","-0.26 (-0.47, -0.05)","-0.14 (-0.41, 0.13)"
"7","Ln TNF-α/IL-10"," "," ","Absolute SD"," "," "," "," "," "," "," "
"8","Control","312","0.75","Absolute SD","0.97","-0.54","0.65"," "," "," "," "
"9","Nutrition + WSH","363","0.95","Absolute SD","2.36","-0.54","0.77","0 (-0.11, 0.1)","0 (-0.11, 0.11)","0 (-0.12, 0.12)","0 (-0.16, 0.16)"
"10","Ln IL-12/IL-10"," "," ","Absolute SD"," "," "," "," "," "," "," "
"11","Control","312","0.38","Absolute SD","0.28","-1.13","0.58"," "," "," "," "
"12","Nutrition + WSH","363","0.37","Absolute SD","0.46","-1.25","0.66","-0.12 (-0.22, -0.02)","-0.11 (-0.21, 0)","-0.09 (-0.2, 0.01)","-0.07 (-0.19, 0.05)"
"13","Ln IFN-γ/IL-10"," "," ","Absolute SD"," "," "," "," "," "," "," "
"14","Control","312","1.15","Absolute SD","0.8","-0.01","0.57"," "," "," "," "
"15","Nutrition + WSH","363","1.08","Absolute SD","1.6","-0.18","0.62","-0.16 (-0.27, -0.06)","-0.15 (-0.25, -0.04)","-0.13 (-0.23, -0.02)","-0.14 (-0.26, -0.02)"
"16","Ln IL-4/IL-10"," "," ","Absolute SD"," "," "," "," "," "," "," "
"17","Control","312","8.06","Absolute SD","6.71","1.88","0.64"," "," "," "," "
"18","Nutrition + WSH","363","7.48","Absolute SD","13.48","1.65","0.71","-0.23 (-0.35, -0.1)","-0.2 (-0.33, -0.07)","-0.19 (-0.32, -0.06)","-0.25 (-0.4, -0.1)"
"19","Ln IL-5/IL-10"," "," ","Absolute SD"," "," "," "," "," "," "," "
"20","Control","312","0.26","Absolute SD","0.26","-1.63","0.79"," "," "," "," "
"21","Nutrition + WSH","363","0.33","Absolute SD","0.99","-1.68","0.84","-0.05 (-0.19, 0.09)","-0.05 (-0.19, 0.09)","-0.09 (-0.23, 0.05)","-0.06 (-0.23, 0.1)"
"22","Ln IL-13/IL-10"," "," ","Absolute SD"," "," "," "," "," "," "," "
"23","Control","311","1.13","Absolute SD","1.89","-0.44","1.04"," "," "," "," "
"24","Nutrition + WSH","362","0.87","Absolute SD","1.9","-0.65","0.98","-0.21 (-0.44, 0.01)","-0.21 (-0.44, 0.01)","-0.19 (-0.4, 0.01)","-0.2 (-0.45, 0.05)"
"25","Ln IL-17A/IL-10"," "," ","Absolute SD"," "," "," "," "," "," "," "
"26","Control","312","0.68","Absolute SD","0.59","-0.57","0.61"," "," "," "," "
"27","Nutrition + WSH","363","0.71","Absolute SD","1.04","-0.65","0.69","-0.08 (-0.18, 0.03)","-0.05 (-0.17, 0.06)","-0.04 (-0.15, 0.07)","-0.07 (-0.18, 0.04)"
"28","Ln IL-21/IL-10"," "," ","Absolute SD"," "," "," "," "," "," "," "
"29","Control","307","0.34","Absolute SD","0.62","-1.65","1.06"," "," "," "," "
"30","Nutrition + WSH","358","0.43","Absolute SD","1.56","-1.83","1.21","-0.19 (-0.4, 0.03)","-0.19 (-0.4, 0.03)","-0.16 (-0.37, 0.05)","-0.19 (-0.49, 0.11)"
"31","Ln IL-2/IL-10"," "," ","Absolute SD"," "," "," "," "," "," "," "
"32","Control","309","0.2","Absolute SD","0.54","-2.25","1.09"," "," "," "," "
"33","Nutrition + WSH","357","0.36","Absolute SD","2.69","-2.44","1.35","-0.19 (-0.43, 0.06)","-0.16 (-0.4, 0.09)","-0.15 (-0.4, 0.09)","-0.06 (-0.36, 0.24)"
"34","Ln GM-CSF/IL-10"," "," ","Absolute SD"," "," "," "," "," "," "," "
"35","Control","312","18.88","Absolute SD","22.62","2.53","0.92"," "," "," "," "
"36","Nutrition + WSH","363","22.27","Absolute SD","35.78","2.55","1.02","0.02 (-0.16, 0.2)","0.05 (-0.14, 0.24)","0.03 (-0.14, 0.2)","0.09 (-0.07, 0.26)"
"37","Ln IL-12/IL-4"," "," ","Absolute SD"," "," "," "," "," "," "," "
"38","Control","313","0.06","Absolute SD","0.02","-3.01","0.52"," "," "," "," "
"39","Nutrition + WSH","367","0.06","Absolute SD","0.03","-2.91","0.57","0.1 (-0.02, 0.21)","0.1 (-0.02, 0.21)","0.1 (-0.01, 0.21)","0.2 (0.07, 0.34)"
"40","Ln IFN-γ/IL-4"," "," ","Absolute SD"," "," "," "," "," "," "," "
"41","Control","313","0.18","Absolute SD","0.12","-1.89","0.58"," "," "," "," "
"42","Nutrition + WSH","367","0.18","Absolute SD","0.09","-1.83","0.53","0.06 (-0.05, 0.16)","0.06 (-0.05, 0.16)","0.07 (-0.04, 0.17)","0.12 (-0.03, 0.27)"
"43","Ln IL-12/IL-5"," "," ","Absolute SD"," "," "," "," "," "," "," "
"44","Control","313","2.53","Absolute SD","4.89","0.5","0.83"," "," "," "," "
"45","Nutrition + WSH","367","2.14","Absolute SD","3.36","0.43","0.81","-0.07 (-0.23, 0.09)","-0.07 (-0.23, 0.09)","-0.03 (-0.18, 0.13)","-0.05 (-0.28, 0.17)"
"46","Ln IFN-γ/IL-5"," "," ","Absolute SD"," "," "," "," "," "," "," "
"47","Control","313","8.44","Absolute SD","19.1","1.62","0.86"," "," "," "," "
"48","Nutrition + WSH","367","6.4","Absolute SD","9.42","1.51","0.78","-0.11 (-0.26, 0.05)","-0.11 (-0.26, 0.05)","-0.06 (-0.21, 0.1)","-0.03 (-0.22, 0.16)"
