"","Outcome, Arm","N","Absolute Mean","Mean","SD","Unadjusted difference: Intervention vs. Control (95% CI)","Age- and sex- adjusted difference: Intervention vs. Control (95% CI)","Fully adjusted difference: Intervention vs. Control (95% CI)","IPCW adjusted difference: Intervention vs. Control (95% CI)"
"1","Ln ΔIL-1β (pg/ml)"," "," "," "," "," "," "," "," "
"2","Control","124","0.04","-0.73","1.08"," "," "," "," "
"3","Nutrition + WSH","124","0.01","-0.81","1.04","-0.08 (-0.35, 0.2)","-0.08 (-0.36, 0.2)","-0.09 (-0.35, 0.17)","-0.1 (-0.29, 0.08)"
"4","Ln ΔIL-6 (pg/ml)"," "," "," "," "," "," "," "," "
"5","Control","110","-0.24","-0.04","1.31"," "," "," "," "
"6","Nutrition + WSH","109","-0.15","-0.16","1.33","-0.12 (-0.52, 0.27)","-0.12 (-0.52, 0.28)","-0.04 (-0.41, 0.33)","0.02 (-0.28, 0.32)"
"7","Ln ΔTNF-α (pg/ml)"," "," "," "," "," "," "," "," "
"8","Control","73","-2.16","0.39","0.88"," "," "," "," "
"9","Nutrition + WSH","86","-1.69","0.36","1.17","-0.03 (-0.42, 0.36)","-0.11 (-0.53, 0.3)","-0.05 (-0.42, 0.32)","-0.05 (-0.21, 0.11)"
"10","Ln ΔIL-12 (pg/ml)"," "," "," "," "," "," "," "," "
"11","Control","97","-0.27","-0.32","1.08"," "," "," "," "
"12","Nutrition + WSH","113","-0.09","-0.25","1","0.07 (-0.23, 0.37)","0.07 (-0.23, 0.37)","0.06 (-0.21, 0.33)","0.08 (-0.14, 0.31)"
"13","Ln ΔIFN-γ (pg/ml)"," "," "," "," "," "," "," "," "
"14","Control","108","-0.6","0.73","1.25"," "," "," "," "
"15","Nutrition + WSH","109","-0.43","0.82","1.1","0.09 (-0.26, 0.45)","-0.04 (-0.39, 0.3)","0.02 (-0.3, 0.34)","0.01 (-0.17, 0.19)"
"16","Ln ΔIL-4 (pg/ml)"," "," "," "," "," "," "," "," "
"17","Control","130","-2.91","2.76","1.21"," "," "," "," "
"18","Nutrition + WSH","103","-9.47","2.75","1.23","-0.01 (-0.33, 0.31)","-0.02 (-0.34, 0.3)","0.01 (-0.31, 0.34)","0 (-0.24, 0.24)"
"19","Ln ΔIL-5 (pg/ml)"," "," "," "," "," "," "," "," "
"20","Control","103","-0.36","-0.68","1.39"," "," "," "," "
"21","Nutrition + WSH","101","-0.23","-0.7","1.16","-0.02 (-0.38, 0.35)","0 (-0.36, 0.36)","0.04 (-0.3, 0.39)","0.03 (-0.2, 0.25)"
"22","Ln ΔIL-13 (pg/ml)"," "," "," "," "," "," "," "," "
"23","Control","114","-0.2","1","1.4"," "," "," "," "
"24","Nutrition + WSH","108","-1.12","0.98","1.43","-0.01 (-0.46, 0.43)","-0.01 (-0.45, 0.44)","-0.03 (-0.42, 0.36)","-0.25 (-0.47, -0.03)"
"25","Ln ΔIL-17A (pg/ml)"," "," "," "," "," "," "," "," "
"26","Control","110","-0.63","0.52","1.13"," "," "," "," "
"27","Nutrition + WSH","113","-0.72","0.3","1.02","-0.23 (-0.51, 0.06)","-0.16 (-0.47, 0.15)","-0.02 (-0.31, 0.27)","0.13 (-0.04, 0.3)"
"28","Ln ΔIL-21 (pg/ml)"," "," "," "," "," "," "," "," "
"29","Control","120","-0.14","-0.28","1.15"," "," "," "," "
"30","Nutrition + WSH","107","-0.21","-0.33","1.12","-0.04 (-0.31, 0.22)","-0.07 (-0.33, 0.18)","-0.06 (-0.35, 0.22)","-0.18 (-0.37, 0.01)"
"31","Ln ΔIL-10 (pg/ml)"," "," "," "," "," "," "," "," "
"32","Control","92","-2.94","0.93","1.39"," "," "," "," "
"33","Nutrition + WSH","105","-2.1","1.03","1.1","0.1 (-0.25, 0.44)","0.08 (-0.26, 0.42)","0.01 (-0.41, 0.43)","0.16 (-0.04, 0.36)"
"34","Ln ΔIL-2 (pg/ml)"," "," "," "," "," "," "," "," "
"35","Control","119","0.11","-0.57","1.16"," "," "," "," "
"36","Nutrition + WSH","112","0.5","-0.5","1.07","0.07 (-0.24, 0.38)","0.03 (-0.27, 0.34)","-0.02 (-0.31, 0.27)","0.17 (-0.04, 0.38)"
"37","Ln ΔGM-CSF (pg/ml)"," "," "," "," "," "," "," "," "
"38","Control","171","67.54","4.09","1.48"," "," "," "," "
"39","Nutrition + WSH","184","84.23","4.14","1.34","0.05 (-0.29, 0.39)","0.01 (-0.33, 0.35)","0.06 (-0.28, 0.39)","-0.02 (-0.32, 0.29)"
"40","Ln ΔIGF-1 (μg/L)"," "," "," "," "," "," "," "," "
"41","Control","168","11.98","2.62","1.05"," "," "," "," "
"42","Nutrition + WSH","168","11.51","2.62","0.94","0 (-0.21, 0.21)","-0.05 (-0.27, 0.18)","0 (-0.17, 0.18)","-0.02 (-0.19, 0.16)"
