"","Outcome, Arm","N","Absolute Mean","Mean","SD","Unadjusted difference: Intervention vs. Control (95% CI)","Age- and sex- adjusted difference: Intervention vs. Control (95% CI)","Fully adjusted difference: Intervention vs. Control (95%)","IPCW adjusted difference: Intervention vs. Control (95%)"
"1","Ln <U+0394>IL-1ß/IL-10"," "," "," "," "," "," "," "," "
"2","Control","216","0.02","0.35","1.08"," "," "," "," "
"3","Nutrition + WSH","261","0.05","0.21","1.37","-0.14 (-0.39, 0.11)","-0.13 (-0.38, 0.12)","-0.15 (-0.41, 0.12)","-0.14 (-0.4, 0.12)"
"4","Ln <U+0394>IL-6/IL-10"," "," "," "," "," "," "," "," "
"5","Control","216","0.12","0.24","1.04"," "," "," "," "
"6","Nutrition + WSH","264","0.13","-0.02","1.32","-0.27 (-0.51, -0.03)","-0.24 (-0.48, -0.01)","-0.2 (-0.48, 0.07)","-0.2 (-0.45, 0.06)"
"7","Ln <U+0394>TNF-a/IL-10"," "," "," "," "," "," "," "," "
"8","Control","216","-0.37","-0.14","0.86"," "," "," "," "
"9","Nutrition + WSH","265","0.3","0.03","0.93","0.17 (-0.02, 0.36)","0.17 (-0.02, 0.36)","0.1 (-0.08, 0.28)","0.17 (-0.06, 0.4)"
"10","Ln <U+0394>IL-12/IL-10"," "," "," "," "," "," "," "," "
"11","Control","216","0","0.12","0.84"," "," "," "," "
"12","Nutrition + WSH","264","0.1","0.22","0.88","0.11 (-0.09, 0.31)","0.12 (-0.08, 0.33)","0.12 (-0.07, 0.31)","0.11 (-0.08, 0.3)"
"13","Ln <U+0394>IFN-<U+03B3>/IL-10"," "," "," "," "," "," "," "," "
"14","Control","216","0.02","0.16","0.85"," "," "," "," "
"15","Nutrition + WSH","265","0.23","0.16","0.75","0 (-0.18, 0.18)","0.01 (-0.18, 0.19)","-0.02 (-0.2, 0.17)","0 (-0.2, 0.2)"
"16","Ln <U+0394>IL-4/IL-10"," "," "," "," "," "," "," "," "
"17","Control","216","-0.27","0.23","0.87"," "," "," "," "
"18","Nutrition + WSH","264","0.69","0.05","0.94","-0.18 (-0.39, 0.03)","-0.18 (-0.4, 0.03)","-0.16 (-0.38, 0.06)","-0.18 (-0.39, 0.02)"
"19","Ln <U+0394>IL-5/IL-10"," "," "," "," "," "," "," "," "
"20","Control","216","-0.04","0.12","0.93"," "," "," "," "
"21","Nutrition + WSH","265","0.11","0.05","1.04","-0.07 (-0.26, 0.13)","-0.09 (-0.27, 0.1)","-0.15 (-0.32, 0.02)","-0.14 (-0.35, 0.07)"
"22","Ln <U+0394>IL-13/IL-10"," "," "," "," "," "," "," "," "
"23","Control","215","0.26","0.21","1.18"," "," "," "," "
"24","Nutrition + WSH","263","0.03","-0.04","1.24","-0.25 (-0.53, 0.04)","-0.25 (-0.53, 0.04)","-0.22 (-0.5, 0.05)","-0.22 (-0.57, 0.13)"
"25","Ln <U+0394>IL-17A/IL-10"," "," "," "," "," "," "," "," "
"26","Control","216","-0.15","0.05","0.9"," "," "," "," "
"27","Nutrition + WSH","265","0.23","0.2","0.86","0.16 (-0.04, 0.35)","0.17 (-0.02, 0.37)","0.16 (-0.05, 0.37)","0.25 (0.03, 0.47)"
"28","Ln <U+0394>IL-21/IL-10"," "," "," "," "," "," "," "," "
"29","Control","208","0.04","0.26","1.41"," "," "," "," "
"30","Nutrition + WSH","257","0.14","0.06","1.49","-0.2 (-0.5, 0.11)","-0.19 (-0.48, 0.1)","-0.08 (-0.39, 0.22)","-0.06 (-0.35, 0.23)"
"31","Ln <U+0394>IL-2/IL-10"," "," "," "," "," "," "," "," "
"32","Control","214","0.02","0.37","1.4"," "," "," "," "
"33","Nutrition + WSH","254","0.2","0.25","1.66","-0.12 (-0.47, 0.23)","-0.13 (-0.48, 0.22)","-0.1 (-0.45, 0.25)","-0.17 (-0.56, 0.22)"
"34","Ln <U+0394>GM-CSF/IL-10"," "," "," "," "," "," "," "," "
"35","Control","216","5.26","0.65","1.08"," "," "," "," "
"36","Nutrition + WSH","265","15.22","0.9","1.37","0.25 (0.04, 0.46)","0.22 (-0.02, 0.45)","0.08 (-0.13, 0.3)","0.14 (-0.06, 0.35)"
"37","Ln <U+0394>IL-12/IL-4"," "," "," "," "," "," "," "," "
"38","Control","218","0","-0.09","0.71"," "," "," "," "
"39","Nutrition + WSH","266","0.01","0.17","0.82","0.26 (0.09, 0.44)","0.27 (0.08, 0.46)","0.29 (0.11, 0.47)","0.25 (0.03, 0.47)"
"40","Ln <U+0394>IFN-<U+03B3>/IL-4"," "," "," "," "," "," "," "," "
"41","Control","218","0","-0.06","0.7"," "," "," "," "
"42","Nutrition + WSH","267","0.02","0.11","0.71","0.17 (0.01, 0.32)","0.18 (0.02, 0.33)","0.16 (0, 0.32)","0.18 (-0.01, 0.37)"
"43","Ln <U+0394>IL-12/IL-5"," "," "," "," "," "," "," "," "
"44","Control","218","0.31","0.02","0.84"," "," "," "," "
"45","Nutrition + WSH","267","0.56","0.16","1.13","0.15 (-0.05, 0.35)","0.15 (-0.05, 0.35)","0.22 (0.04, 0.4)","0.31 (0.08, 0.54)"
"46","Ln <U+0394>IFN-<U+03B3>/IL-5"," "," "," "," "," "," "," "," "
"47","Control","218","1.17","0.05","0.8"," "," "," "," "
"48","Nutrition + WSH","268","1.19","0.1","0.95","0.06 (-0.11, 0.23)","0.06 (-0.11, 0.23)","0.1 (-0.08, 0.27)","0.19 (-0.02, 0.39)"
"49","Ln <U+0394>IL-12/IL-13"," "," "," "," "," "," "," "," "
"50","Control","216","0.09","-0.08","1"," "," "," "," "
"51","Nutrition + WSH","265","0.08","0.27","1.18","0.35 (0.14, 0.57)","0.37 (0.15, 0.59)","0.35 (0.12, 0.58)","0.38 (0.12, 0.64)"
"52","Ln <U+0394>IFN-<U+03B3>/IL-13"," "," "," "," "," "," "," "," "
"53","Control","216","0.46","-0.05","0.92"," "," "," "," "
"54","Nutrition + WSH","266","0.42","0.19","1.07","0.24 (0.03, 0.44)","0.23 (0.03, 0.43)","0.19 (0, 0.38)","0.16 (-0.08, 0.4)"
"55","Ln <U+0394>IL-12/IL-17A"," "," "," "," "," "," "," "," "
"56","Control","218","0.11","0.08","0.75"," "," "," "," "
"57","Nutrition + WSH","267","-0.04","0","0.8","-0.08 (-0.23, 0.08)","-0.08 (-0.24, 0.08)","-0.1 (-0.25, 0.05)","-0.12 (-0.28, 0.04)"
"58","Ln <U+0394>IFN-<U+03B3>/IL-17A"," "," "," "," "," "," "," "," "
"59","Control","218","0.11","0.08","0.75"," "," "," "," "
"60","Nutrition + WSH","267","-0.04","0","0.8","-0.08 (-0.23, 0.08)","-0.08 (-0.24, 0.08)","-0.1 (-0.25, 0.05)","-0.12 (-0.28, 0.04)"
"61","Ln <U+0394>IL-12/IL-21"," "," "," "," "," "," "," "," "
"62","Control","218","0.11","0.08","0.75"," "," "," "," "
"63","Nutrition + WSH","267","-0.04","0","0.8","-0.08 (-0.23, 0.08)","-0.08 (-0.24, 0.08)","-0.1 (-0.25, 0.05)","-0.12 (-0.28, 0.04)"
"64","Ln <U+0394>IFN-<U+03B3>/IL-21"," "," "," "," "," "," "," "," "
"65","Control","218","0.11","0.08","0.75"," "," "," "," "
"66","Nutrition + WSH","267","-0.04","0","0.8","-0.08 (-0.23, 0.08)","-0.08 (-0.24, 0.08)","-0.1 (-0.25, 0.05)","-0.12 (-0.28, 0.04)"
"67","Ln <U+0394>Pro-inflammatory cytokines*/IL-10"," "," "," "," "," "," "," "," "
"68","Control","216"," ","23.8","293.39"," "," "," "," "
"69","Nutrition + WSH","260"," ","-25.54","299.32","-49.35 (-102.11, 3.42)","-48.43 (-100.09, 3.23)","-35.28 (-74.63, 4.08)","-30.68 (-79.68, 18.32)"
"70","Ln <U+0394>Th1**/IL-10"," "," "," "," "," "," "," "," "
"71","Control","216"," ","7.91","150.89"," "," "," "," "
"72","Nutrition + WSH","264"," ","-21.46","254.12","-29.38 (-65.79, 7.04)","-28.85 (-65.13, 7.42)","-10.41 (-30.2, 9.38)","-3.9 (-42.55, 34.75)"
"73","Ln <U+0394>Th2***/IL-10"," "," "," "," "," "," "," "," "
"74","Control","215"," ","29.88","461.82"," "," "," "," "
"75","Nutrition + WSH","262"," ","5.53","210.3","-24.35 (-91.96, 43.27)","-25.39 (-95.18, 44.41)","-21.34 (-83.13, 40.46)","-5.24 (-47.56, 37.08)"
"76","Ln <U+0394>Th17****/IL-10"," "," "," "," "," "," "," "," "
"77","Control","208"," ","3.52","120.29"," "," "," "," "
"78","Nutrition + WSH","257"," ","-19.73","283.94","-23.25 (-60.92, 14.42)","-23.5 (-61.55, 14.56)","-8.41 (-30.28, 13.47)","-16.49 (-55.21, 22.23)"
"79","Ln <U+0394>Th1**/Th2***"," "," "," "," "," "," "," "," "
"80","Control","216"," ","0.48","23.05"," "," "," "," "
"81","Nutrition + WSH","264"," ","-0.53","7.28","-1.01 (-4.36, 2.33)","-1.08 (-4.54, 2.38)","-0.69 (-4.1, 2.72)","0.17 (-2.88, 3.22)"
"82","Ln <U+0394>Th1**/Th17****"," "," "," "," "," "," "," "," "
"83","Control","210"," ","-101.21","1459.54"," "," "," "," "
"84","Nutrition + WSH","259"," ","2.58","28.84","103.79 (-93.61, 301.19)","107.9 (-97.04, 312.85)","-1.9 (-84.26, 80.46)","49.92 (-318.26, 418.1)"
