"","No. of compounds:","Control (N=402)","N + WSH (N=404)"
"1","Maternal"," "," "
"2","Age(years)","23 (5)","24 (5)"
"3","Years of education","7 (3)","6 (3)"
"4","Paternal"," "," "
"5","Years of education","6 (4)","5 (4)"
"6","Works in agriculture","92 (24%)","115 (27%)"
"7","Household"," "," "
"8","Number of people","5 (2)","5 (2)"
"9","Has electricity","236 (61%)","260 (62%)"
"10","Has a cement floor","63 (16%)","52 (12%)"
"11","Acres of agricultural land owned","0.17 (0.24)","0.14 (0.14)"
"12","Drinking Water"," "," "
"13","Shallow tubewell primary water source","282 (73%)","301 (72%)"
"14","Stored water observed at home","191 (50%)","219 (52%)"
"15","Reported treating water yesterday","1 (0%)","1 (0%)"
"16","Distance (mins) to primary water source","1 (1)","1 (2)"
"17","Sanitation"," "," "
"18","Reported daily open defecation"," "," "
"19","Adult men","14 (4%)","37 (9%)"
"20","Adult women","10 (3%)","20 (5%)"
"21","Children: 8 to <15 years","5 (3%)","21 (11%)"
"22","Children: 3 to <8 years","58 (31%)","86 (37%)"
"23","Children: 0 to <3 years","63 (74%)","74 (87%)"
"24","Latrine"," "," "
"25","Owned","231 (60%)","219 (52%)"
"26","Concrete Slab","365 (97%)","376 (94%)"
"27","Functional water seal","135 (39%)","105 (31%)"
"28","Visible stool on slab or floor","198 (53%)","182 (47%)"
"29","Owned a child potty","29 (8%)","20 (5%)"
"30","Human feces observed in the"," "," "
"31","House","24 (6%)","34 (8%)"
"32","Child's play area","4 (1%)","5 (1%)"
"33","Handwashing location"," "," "
"34","Within six steps of latrine"," "," "
"35","Has water","74 (21%)","53 (14%)"
"36","Has soap","39 (11%)","26 (7%)"
"37","Within six steps of kitchen"," "," "
"38","Has water","39 (11%)","40 (10%)"
"39","Has soap","14 (4%)","13 (3%)"
"40","Nutrition"," "," "
"41","Household is food secure","283 (74%)","300 (71%)"
