"","Outcome, Arm","N","Absolute Mean","Mean","SD","Unadjusted difference: Intervention vs. Control (95% CI)","Age- and sex- adjusted difference: Intervention vs. Control (95% CI)","Fully adjusted difference: Intervention vs. Control (95% CI)"
"1","Ln IL-1β (pg/ml)"," "," "," "," "," "," "," "
"2","Control","335","1.17","-0.22","1.08"," "," "," "
"3","Nutrition + WSH","343","1.23","-0.15","1.07","0.06 (-0.17, 0.3)","0.05 (-0.19, 0.28)","0.05 (-0.19, 0.28)"
"4","Ln IL-6 (pg/ml)"," "," "," "," "," "," "," "
"5","Control","335","2.6","0.63","0.92"," "," "," "
"6","Nutrition + WSH","344","2.61","0.65","0.85","0.03 (-0.18, 0.23)","0.03 (-0.18, 0.23)","0.03 (-0.17, 0.22)"
"7","Ln TNF-α (pg/ml)"," "," "," "," "," "," "," "
"8","Control","336","4.98","1.48","0.51"," "," "," "
"9","Nutrition + WSH","344","5.37","1.55","0.58","0.07 (-0.05, 0.19)","0.06 (-0.06, 0.18)","0.07 (-0.05, 0.18)"
"10","Ln IL-12 (pg/ml)"," "," "," "," "," "," "," "
"11","Control","336","2.62","0.79","0.71"," "," "," "
"12","Nutrition + WSH","344","2.9","0.91","0.63","0.12 (-0.03, 0.27)","0.11 (-0.04, 0.25)","0.11 (-0.02, 0.23)"
"13","Ln IFN-γ (pg/ml)"," "," "," "," "," "," "," "
"14","Control","336","7.88","1.9","0.62"," "," "," "
"15","Nutrition + WSH","344","8.84","2","0.64","0.1 (-0.03, 0.23)","0.09 (-0.04, 0.21)","0.09 (-0.02, 0.21)"
"16","Ln IL-4 (pg/ml)"," "," "," "," "," "," "," "
"17","Control","336","54.35","3.79","0.64"," "," "," "
"18","Nutrition + WSH","344","55.06","3.83","0.62","0.04 (-0.1, 0.18)","0.04 (-0.1, 0.18)","0.04 (-0.1, 0.18)"
"19","Ln IL-5 (pg/ml)"," "," "," "," "," "," "," "
"20","Control","336","1.8","0.37","0.79"," "," "," "
"21","Nutrition + WSH","344","1.84","0.41","0.7","0.05 (-0.08, 0.18)","0.04 (-0.1, 0.17)","0.03 (-0.1, 0.16)"
"22","Ln IL-13 (pg/ml)"," "," "," "," "," "," "," "
"23","Control","335","8.05","1.42","1.2"," "," "," "
"24","Nutrition + WSH","342","8.07","1.58","1.07","0.16 (-0.1, 0.41)","0.13 (-0.12, 0.39)","0.11 (-0.11, 0.33)"
"25","Ln IL-17A (pg/ml)"," "," "," "," "," "," "," "
"26","Control","336","4.99","1.4","0.7"," "," "," "
"27","Nutrition + WSH","344","5.1","1.48","0.58","0.08 (-0.05, 0.21)","0.07 (-0.07, 0.2)","0.07 (-0.05, 0.19)"
"28","Ln IL-21 (pg/ml)"," "," "," "," "," "," "," "
"29","Control","334","1.9","0.33","0.9"," "," "," "
"30","Nutrition + WSH","336","2.09","0.28","0.94","-0.05 (-0.22, 0.12)","-0.06 (-0.23, 0.11)","-0.06 (-0.23, 0.11)"
"31","Ln IL-10 (pg/ml)"," "," "," "," "," "," "," "
"32","Control","331","9.03","1.98","0.72"," "," "," "
"33","Nutrition + WSH","344","11","2.13","0.74","0.15 (0.01, 0.3)","0.14 (-0.01, 0.28)","0.12 (0, 0.25)"
"34","Ln IL-2 (pg/ml)"," "," "," "," "," "," "," "
"35","Control","330","1.26","-0.27","1.16"," "," "," "
"36","Nutrition + WSH","341","1.51","-0.32","1.18","-0.04 (-0.28, 0.19)","-0.04 (-0.28, 0.19)","-0.04 (-0.28, 0.19)"
"37","Ln GM-CSF (pg/ml)"," "," "," "," "," "," "," "
"38","Control","336","168.57","4.54","1.1"," "," "," "
"39","Nutrition + WSH","344","160.81","4.63","0.98","0.08 (-0.12, 0.29)","0.07 (-0.14, 0.28)","0.06 (-0.11, 0.23)"
"40","Ln IGF-1 (μg/L)"," "," "," "," "," "," "," "
"41","Control","348","51.61","3.83","0.49"," "," "," "
"42","Nutrition + WSH","356","51.53","3.83","0.49","0 (-0.08, 0.08)","-0.02 (-0.1, 0.06)","0 (-0.08, 0.07)"
