"","Outcome, Arm","Unadjusted difference: Intervention vs. Control (95% CI)","Age- and sex- adjusted difference: Intervention vs. Control (95% CI)","Fully adjusted difference: Intervention vs. Control (95%)","IPCW adjusted difference: Intervention vs. Control (95%)"
"1","Ln delta IL-1b/IL-10"," "," "," "," "
"2","Control"," "," "," "," "
"3","Nutrition + WSH","-0.08(-0.33, 0.18)","-0.1(-0.35, 0.16)","-0.11(-0.36, 0.15)","-0.07(-0.35, 0.2)"
"4","Ln delta IL-6/IL-10"," "," "," "," "
"5","Control"," "," "," "," "
"6","Nutrition + WSH","-0.13(-0.39, 0.13)","-0.1(-0.36, 0.17)","-0.07(-0.34, 0.2)","-0.06(-0.32, 0.21)"
"7","Ln delta TNF-a/IL-10"," "," "," "," "
"8","Control"," "," "," "," "
"9","Nutrition + WSH","0.01(-0.16, 0.18)","0.01(-0.16, 0.18)","-0.01(-0.18, 0.16)","0.1(-0.09, 0.28)"
"10","Ln delta IL-12/IL-10"," "," "," "," "
"11","Control"," "," "," "," "
"12","Nutrition + WSH","-0.06(-0.25, 0.14)","-0.05(-0.25, 0.15)","-0.05(-0.23, 0.13)","-0.05(-0.23, 0.12)"
"13","Ln delta IFN-g/IL-10"," "," "," "," "
"14","Control"," "," "," "," "
"15","Nutrition + WSH","-0.08(-0.24, 0.08)","-0.09(-0.25, 0.07)","-0.1(-0.25, 0.06)","-0.06(-0.22, 0.09)"
"16","Ln delta IL-4/IL-10"," "," "," "," "
"17","Control"," "," "," "," "
"18","Nutrition + WSH","-0.21(-0.41, 0)","-0.21(-0.42, 0)","-0.21(-0.4, -0.01)","-0.23(-0.41, -0.04)"
"19","Ln delta IL-5/IL-10"," "," "," "," "
"20","Control"," "," "," "," "
"21","Nutrition + WSH","-0.13(-0.31, 0.05)","-0.14(-0.33, 0.04)","-0.13(-0.31, 0.05)","-0.09(-0.31, 0.13)"
"22","Ln delta IL-13/IL-10"," "," "," "," "
"23","Control"," "," "," "," "
"24","Nutrition + WSH","-0.1(-0.37, 0.17)","-0.1(-0.38, 0.17)","-0.11(-0.36, 0.14)","-0.02(-0.32, 0.28)"
"25","Ln delta IL-17A/IL-10"," "," "," "," "
"26","Control"," "," "," "," "
"27","Nutrition + WSH","-0.05(-0.21, 0.1)","-0.04(-0.2, 0.12)","-0.03(-0.19, 0.13)","0(-0.17, 0.16)"
"28","Ln delta IL-21/IL-10"," "," "," "," "
"29","Control"," "," "," "," "
"30","Nutrition + WSH","-0.19(-0.46, 0.09)","-0.2(-0.47, 0.06)","-0.21(-0.48, 0.05)","-0.1(-0.42, 0.23)"
"31","Ln delta IL-2/IL-10"," "," "," "," "
"32","Control"," "," "," "," "
"33","Nutrition + WSH","-0.09(-0.42, 0.23)","-0.11(-0.43, 0.21)","-0.12(-0.44, 0.2)","-0.1(-0.43, 0.23)"
"34","Ln delta GM-CSF/IL-10"," "," "," "," "
"35","Control"," "," "," "," "
"36","Nutrition + WSH","0.08(-0.12, 0.27)","0.04(-0.16, 0.24)","0.03(-0.16, 0.23)","0(-0.18, 0.19)"
"37","Ln delta IL-12/IL-4"," "," "," "," "
"38","Control"," "," "," "," "
"39","Nutrition + WSH","0.13(-0.04, 0.31)","0.12(-0.07, 0.3)","0.15(-0.03, 0.33)","0.12(-0.06, 0.29)"
"40","Ln delta IFN-g/IL-4"," "," "," "," "
"41","Control"," "," "," "," "
"42","Nutrition + WSH","0.13(-0.03, 0.29)","0.12(-0.04, 0.29)","0.11(-0.04, 0.26)","0.13(-0.02, 0.29)"
"43","Ln delta IL-12/IL-5"," "," "," "," "
"44","Control"," "," "," "," "
