"","No. of compounds:","Control (N=402)","N + WSH (N=404)"
"1"," ","%/mean","%/mean"
"2","Maternal"," "," "
"3","Age(years)","23.83(5.4)","23.62(4.8)"
"4","Years of education","6.33(3.46)","6.11(3.32)"
"5","Paternal"," "," "
"6","Years of education","5.27(4.08)","5.09(3.68)"
"7","Works in agriculture","97(24.13%)","110(27.3%)"
"8","Household"," "," "
"9","Number of people","4.89(2.34)","4.76(2.19)"
"10","Has electricity","236(58.71%)","261(64.6%)"
"11","Has a cement floor","59(14.68%)","56(13.86%)"
"12","Acres of agricultural land owned","0.15(0.21)","0.15(0.22)"
"13","Drinking Water"," "," "
"14","Shallow tubewell primary water source","298(74.13%)","286(70.79%)"
"15","Stored water observed at home","199(49.5%)","212(52.48%)"
"16","Reported treating water yesterday","1(0.25%)","1(0.25%)"
"17","Distance (mins) to primary water source","0.72(1.36)","0.73(2.18)"
"18","Sanitation"," "," "
"19","Reported daily open defecation"," "," "
"20","Adult men","28(7.11%)","23(5.78%)"
"21","Adult women","19(4.76%)","11(2.72%)"
"22","Children: 8 to <15 years","11(6.79%)","15(8.67%)"
"23","Children: 3 to <8 years","63(31.34%)","81(36.65%)"
"24","Children: 0 to <3 years","69(79.31%)","68(81.93%)"
"25","Latrine"," "," "
"26","Owned","237(58.96%)","214(52.97%)"
"27","Concrete Slab","372(96.62%)","370(93.91%)"
"28","Functional water seal","130(37.36%)","110(32.45%)"
"29","Visible stool on slab or floor","197(51.71%)","184(47.79%)"
"30","Owned a child potty","25(6.22%)","24(5.94%)"
"31","Human feces observed in the"," "," "
"32","House","27(6.75%)","31(7.67%)"
"33","Child's play area","6(1.5%)","3(0.74%)"
"34","Handwashing location"," "," "
"35","Within six steps of latrine","70(17.41%)","61(15.1%)"
"36","Has water","68(18.48%)","59(15.82%)"
"37","Has soap","37(10.05%)","28(7.51%)"
"38","Within six steps of kitchen","45(11.19%)","54(13.37%)"
"39","Has water","37(10.05%)","42(11.26%)"
"40","Has soap","13(3.53%)","14(3.75%)"
"41","Nutrition"," "," "
"42","Household is food secure","1.7(3.34)","1.5(2.93)"
