"","Outcome","N","Absolute Mean","Mean","Standard Deviation","Unadjusted Analysis","Age and Sex Adjusted Analysis","Fully Adjusted Analysis"
"1","iPF(2α)-III","","","","","","",""
"2","Control","118","0.83","-0.33","0.54","","",""
"3","Nutrition + WSH","96","0.7","-0.5","0.56","-0.17 (-0.27, -0.06)","-0.17 (-0.28, -0.06)","-0.14 (-0.23, -0.05)"
"4","2,3-dinor-iPF(2α)-III","","","","","","",""
"5","Control","118","6.66","1.84","0.33","","",""
"6","Nutrition + WSH","96","5.64","1.68","0.32","-0.16 (-0.23, -0.09)","-0.19 (-0.26, -0.13)","-0.17 (-0.23, -0.12)"
"7","iPF(2α)-VI","","","","","","",""
"8","Control","118","16.36","2.68","0.46","","",""
"9","Nutrition + WSH","96","13.5","2.5","0.44","-0.17 (-0.25, -0.1)","-0.19 (-0.27, -0.12)","-0.18 (-0.24, -0.12)"
"10","8,12-iso-iPF(2α)-VI","","","","","","",""
"11","Control","118","16.05","2.63","0.55","","",""
"12","Nutrition + WSH","96","13.49","2.44","0.57","-0.19 (-0.29, -0.1)","-0.21 (-0.31, -0.12)","-0.23 (-0.31, -0.16)"
